Name,Job Title,Email ID,Telephone
Birchgrove Comprehensive School,Headteacher - Mr Andrew Owen,6704075_BirchgroveComprehensiveSchool@Hwbcymru.net,01792 535400
Bishop Gore Comprehensive School,Headteacher - Mrs Helen Burgum,BishopgoreSchool@bishopgore.swansea.sch.uk,01792 411400
Bishopston Comprehensive School,Headteacher - Mr Jeff Bird,6704069_BishopstonComprehensive@Hwbcymru.net,01792 234121
Cefn Hengoed Community School,Headteacher - Mr Carl Bale,6704031_Cefnhengoedcommunityschool@Hwbcymru.net,01792 773464/775034
Dylan Thomas Community School,Headteacher - Mr Rob Phillips,DylanThomasCommunitySchool@dylanthomas.swansea.sch.uk,01792 610300
Gowerton School,Headteacher - Mr Nigel Jones,GowertonSchool@gowerton.swansea.sch.uk,01792 873461
Morriston Comprehensive School,Headteacher - Mr Martin Franklin,MorristonComprehensiveSchool@morriston.swansea.sch.uk,01792 797745
Olchfa School,Headteacher - Mr Hugh Davies,6704032_OlchfaSchool@Hwbcymru.net,01792 534300
Pentrehafod School,Headteacher - Mr Matthew J Goulding ,6704043_PentrehafodSchool@Hwbcymru.net,01792 410400
Penyrheol Comprehensive School,Headteacher - Mr Alan Tootill,PenyrheolComprehensiveSchool@penyrheol-comp.swansea.sch.uk,01792 533066
