Name,Job Title,Email ID,Telephone
YG Y Cwm,Headteacher - Mrs Sara David,YsgolGymraegyCwm@ygycwm.swansea.sch.uk,01792 650326
YGG Bryniago,Headteacher - Mrs Nia Jones,YGGBryniago@bryniago.swansea.sch.uk,01792 882012
YGG Brynymor,Headteacher - Mrs Rhian James-Collins,YGGBrynymor@bryn-y-mor.swansea.sch.uk,01792 466354
YGG Gellionnen,Acting Headteacher - Mrs Julie Thomas,6702232_YGGGellionnen@Hwbcymru.net,01792 845489
YGG Llwynderw,Headteacher - Indeg Griffiths,6702235_YGGLlwynderw@Hwbcymru.net,01792 407130
YGG Lon-Las,Headteacher - Mrs Karen Thomas,YGGLonLas@ygglonlas.swansea.sch.uk,01792 771160
YGG Pontybrenin,Headteacher - Mr Ceri Huw Scourfield,YGGPontybrenin@pontybrenin.swansea.sch.uk,01792 894210
YGG Tirdeunaw,Headteacher - Mrs Jackie James,YGGTirdeunaw@yggtirdeunaw.swansea.sch.uk,01792 774612
YGG Y Login Fach,Headteacher - Miss Undeg Evans,YGGYLoginFach@yloginfach.swansea.sch.uk,01792 874399
Ysgol Gymraeg Tan-y-lan,Headteacher - Mr Berian Jones,YGGTanylan@yggtan-y-lan.swansea.sch.uk,01792 772800
